DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2
S01008257,0.18662963051656148,0.30308702076064276,0.4215342509711612,-0.46931067772666174,-0.327353429835175,-1.161963424597135,0.08206671343681346,-1.2042384056489457,-0.039829992517551545,-0.17778793381181449,2.724169952492671,0.10937421556248167
S01008258,-0.5374033938970866,-0.5074945463899133,-0.7213584673561043,-0.8580109761124478,0.5787308487343924,1.2371581588241523,0.8321429051586768,1.099603117368061,0.8758639183832755,-0.7823809980144704,-0.9888712370374614,0.32587909492999523
S01008259,-0.17538688169026254,0.14097070733053155,1.1737256246945373,-0.5988774438552571,-0.327353429835175,0.2802760197501745,1.0226613333524184,0.8298675877886269,-0.8394461809786438,-0.9740084438358352,1.278088213730507,0.5055340362092174
S01008260,0.5486461427233855,0.6273196476208652,0.03813573523837244,0.4376566851735058,-0.7803955691199587,-1.4448664155849273,-0.19777332078190607,-0.9295001766293667,0.33744333501334245,0.050745962416380096,0.7001236267151087,0.5829793753975951
S01008261,0.7899904841946015,0.7894359610509765,-0.7651754405827088,0.04895638678771973,-0.7803955691199587,-0.9130809894720346,0.1274463194436413,-1.6726435052703235,0.23944667619961726,0.4439067753440242,-1.0709091924081875,0.7556920073370712
S01008262,-0.6580755646326946,-0.34537823295980213,-0.648330178645097,-0.46931067772666174,0.5787308487343924,1.168172191695727,-0.5666992991541151,1.1777949848171014,-0.2530811822528929,0.34484223139052617,-10.156899998953593,1.3492098983231409
S01008263,-0.7787477353683026,-0.6696108598200246,-0.8235980715515147,-1.246711274498234,0.1256887094496087,0.44662487692098224,-0.06450626277513113,0.7518809692184726,-1.5140104810398751,0.886371808977336,-2.82893592503193,1.118042460727782
S01008264,-0.29605905242587055,-0.1832619195296909,-0.9477461623602272,-0.46931067772666174,-0.7803955691199587,0.8744703078435517,-0.15588182323062083,0.7347724828297517,0.025534806410310713,0.18640092625860397,-2.756639788779797,1.911803650628169
S01008265,-0.8994199061039105,-0.8317271732501358,-0.8016895849382125,-1.1171445083696385,-0.327353429835175,2.0583301757600223,0.7960532889444881,1.6730961702711393,0.31445820583538553,-0.11808127959707772,-1.8401530558689858,1.710707794771163
S01008266,-0.8994199061039105,-0.8317271732501358,-0.9367919190535762,-1.1171445083696385,-0.327353429835175,1.9383131575576464,-1.7032227258148867,2.375933577380194,-1.4182081519168686,0.054418384378050855,-2.7184096577595467,1.330998524280875
S01008267,-0.7787477353683026,-0.6696108598200246,-0.7943867560671117,-0.8580109761124478,0.1256887094496087,1.6380180968661824,-0.10682583988944064,1.2386446808607774,0.08239897784976101,0.23809787708458371,-7.1999766877317315,2.6128825680297827
S01008268,-0.8994199061039105,-0.993843486680247,-0.8929749458269717,-0.8580109761124478,-0.327353429835175,2.370090107783526,0.8152373490711166,2.435221314971456,-0.489314189751642,0.06911514785783589,-1.1115666303777518,1.4012907391140932
S01008270,-1.0200920768395185,-1.1559598001103584,-0.8418551437292665,-1.1171445083696385,-0.7803955691199587,2.0840383156635554,0.8452578990262402,1.9058450244939114,0.49666219337845713,-0.8682531476015317,0.7572043361676024,0.8767049203303378
S01008271,-0.05471471095465454,0.465203334190754,-0.4767137001742296,0.4376566851735058,1.031772988019176,0.9205152623494116,0.9770078722781528,-2.1717131824079225,-0.7145916443515474,2.0729131651978134,2.7230294507749875,-0.1151196461998291
