DataZone,income_rate,employment_rate,crime_rate,overcrowded_rate,nocentralheating_rate,Health_PC1,Health_PC2,Education_PC1,Education_PC2,Education_PC3,Access_PC1,Access_PC2,Access_PC3,Access_PC4
S01010128,1.7647469092875134,1.012237004900688,0.14629340635858698,0.2592693263096029,-1.1564537835931061,3.260198812458252,1.1057191002367943,1.5036753706767536,1.0344638460074775,0.8070925318824252,4.102485075338502,1.2208127901449202,0.19778276609827034,-0.017255183414302915
S01010129,2.012680669655723,1.5633297422371073,0.09525286400422645,0.2592693263096029,-0.013141520268103422,5.604205164835515,2.1786161571952,2.3038979887468245,-0.668036060113392,0.1986593107308521,2.827150274157222,1.346106574338425,0.3140463297542444,-0.12714845457841123
S01010130,0.3597889338676601,0.35092572009698436,-0.038019663254381636,-0.0875303875497507,-1.1564537835931061,2.137024085414269,-1.3028516345419363,1.9785497496044095,0.6719662881594758,0.5402457551794594,1.7361692769113155,2.177351208123379,0.33082914371399996,-0.5750308188579886
S01010131,-1.0451690415521933,-1.1921339444449903,-0.8773530264149771,-1.5903291476069497,-0.7753496958181052,-1.0477235988457072,-0.6957042623752722,-1.9922339550735952,0.002074565603425779,0.2902981382057128,-0.37655129386092984,-1.2260254947218847,1.321509661851076,0.250112311834688
S01010132,0.44243352065706326,0.681581362498836,-0.023841734822614823,0.7216689447887411,-0.7753496958181052,0.9893416167989538,-1.6176813383189133,0.9600996050799583,0.9570494529416589,0.11978619852198263,-0.7353021416740765,-0.5726856423486816,0.1956924089773909,-0.26320993725151387
S01010133,1.3515239753404977,1.6735482897043912,0.8580254136332812,0.1436694216898184,-0.013141520268103422,2.194136024093603,0.9397194978995234,0.8840950488205445,0.8570463000528113,0.2812794971728877,0.019994869263723566,0.0537948399843253,0.20578532521699408,-0.35434727737168303
S01010134,0.44243352065706326,0.35092572009698436,-0.23934624698547044,0.02806951707003384,-0.3942456080431043,1.6783100487095861,0.44228169102199055,0.3238535187546821,0.9404837519193588,0.14857679221032857,-1.7492291748562323,0.07574837915612788,0.46313644112264796,-0.1361495493792167
S01010135,0.5250781074464664,0.5713628150315522,-0.5852877007205808,-0.0875303875497507,-0.3942456080431043,0.8797627984705614,-0.28754683869041464,0.08367712631228034,0.8621143829198384,0.07082706286449776,-0.5052024926191047,1.054664609431661,0.255917105470863,-0.190506730988334
S01010136,-0.46665693402637126,-0.42060411217400295,-0.8064633842561432,-0.3187301967893198,-0.013141520268103422,-0.6083230827934849,0.35127840054550197,0.3233492820749308,-0.19082750322070272,-0.5477551929665981,-2.4515792465982837,0.8998724697392252,0.5316390103559151,-0.05972127033007285
S01010137,0.6903672810252727,0.5713628150315522,-0.11458047678592245,0.1436694216898184,-0.3942456080431043,1.059129027217392,0.15113717028034007,-0.2584537976697909,0.5053716309997278,-0.540575244232822,-1.9516975321642172,-0.9388411118419016,1.0181781763400886,-0.08321635780486311
S01010138,2.3432590168133354,3.547263596648218,1.2266515528592183,-0.0875303875497507,-0.013141520268103422,5.8266488075408285,0.104298709464784,2.4827329579822432,-1.73190334425679,-0.4810075395346115,0.6310031026860308,-0.8529085642210137,0.6920019858038191,0.2092927972270245
S01010139,0.5250781074464664,0.681581362498836,-0.16278543345392962,0.02806951707003384,-0.013141520268103422,0.7239278943845338,0.9845978969515818,0.8887657972239541,0.5724489232463602,0.11584241025191502,-2.5207313970823098,-0.7912552586536418,0.09955762836245638,-0.5293032279596338
S01010140,-0.38401234723696814,-0.3103855647067191,1.1103925397187304,-0.20313029216953524,0.3679625675068975,0.6665364490110084,0.8707844099868377,1.018699458475562,0.2472029335925896,0.16808791402820492,-2.631464390108129,-0.6976572693454444,0.305108892185567,-0.3846203409673567
S01010141,1.516813148919304,1.4531111947698234,0.3050862047943753,0.490469135549172,-0.3942456080431043,2.4360754351548,-0.5478857833567127,2.096662149092432,0.17943522459346495,0.23542791546704217,-4.444795756732737,-0.606272000522904,-0.3941741407006779,-0.650848922477475
S01010142,0.8556564546040789,1.012237004900688,0.21151187714471434,-0.0875303875497507,0.7490666552818984,2.4284066255869097,0.5269843909064785,1.5218106184287299,0.15134363986457086,0.35868783526143877,-2.3775253390226987,-0.38228097241077413,-0.1484732472764348,-0.4566961230490958
S01010143,0.11185517349945069,0.13048862516241655,-0.7412449134700158,0.02806951707003384,-1.1564537835931061,0.4114253185604928,-1.256612763927728,-0.5218125646897726,0.9833448709055304,0.7477914316907655,-2.596454628058449,-0.057479684590698465,-0.5600345213643911,-0.5802756459388748
S01010144,0.27714434707825697,0.4611442675642683,0.4326875606802767,1.0684686586480947,1.1301707430568992,1.0767697333940265,-2.4677434593258347,1.4966238025438323,-0.682426371238585,-0.21637201331593442,-0.6066189616495941,-0.23690244749594594,0.5092524865679875,-0.5307784618680701
S01010145,-0.21872317365816188,-0.08994846977215126,-0.26203093247629733,0.1436694216898184,0.3679625675068975,-0.2229885104687378,-0.3482836385690286,1.538209151523792,-0.026093871632534613,-0.17211237429314502,-1.831533921672015,0.28192593710191,-0.26953130119660607,-0.13400482654255744
S01010146,1.1035902149722883,0.681581362498836,0.4695501746028704,0.7216689447887411,0.7490666552818984,2.8291289482680115,1.1448405663101702,0.8187465544659331,-1.2440793421890763,-0.39382419736694135,-2.366133426763694,0.7326003220461816,-0.21191762006873277,-0.1683346012248635
S01010147,1.3515239753404977,1.1224555523679718,0.9119015416739951,0.37486923092938745,-0.7753496958181052,2.881510034606989,-0.10911975080269926,2.6833766423872727,-0.20789435144392138,0.3704810877216154,-3.4047244389917863,-0.0753513230257152,-0.01470117286627284,-0.28511276939853686
S01010148,0.9383010413934821,0.4611442675642683,0.8665321706923412,1.0684686586480947,0.3679625675068975,2.543355396898103,-0.14252167285266315,3.3978695509229135,-1.2361756204412795,0.653210537718874,-0.5262664702284662,0.5642882810508593,-0.49245293198730444,0.4156680426486235
S01010149,-0.13607858686875873,-0.5308226596412868,-0.33859174600783815,-0.7811298152684579,-0.013141520268103422,1.787717032516719,1.2113230306948901,-0.16464764060064704,1.1478720822428186,-0.29798575377986225,1.3621117035125505,-0.16524278653634447,0.18384490460599737,0.1397523002017332
S01010150,1.3515239753404977,1.3428926473025395,0.13495106361317352,0.1436694216898184,0.3679625675068975,2.3800313636152515,-0.13356573011907588,1.9125146716076866,-0.1300503733380612,-0.13272530686914236,-0.45413235931340346,1.3191927339277045,-1.936948198291191,1.100231585599648
S01010151,1.1862348017616915,1.012237004900688,-0.6505061715067081,0.37486923092938745,-0.7753496958181052,0.8474013908363064,1.5253257622606402,2.617761410358726,-1.5590012983922228,-0.7860304170009967,-0.8218876513123441,1.1490895373747603,0.2585890433036766,-0.8639009868898662
S01010152,-0.21872317365816188,-0.20016701723943517,0.0045141220409188115,0.02806951707003384,-0.7753496958181052,0.054433627987869986,-0.6519692888167273,-1.431967667094793,0.14563016685656208,0.9024526012157474,-0.5763832543198543,1.8815731271874996,0.6585900300284344,-0.5709164632502023
S01010153,0.3597889338676601,0.681581362498836,-0.20531921874923006,0.02806951707003384,-0.3942456080431043,6.540218580368648,-0.053723218597524006,0.07136721457334506,0.5504127462002595,-0.07664630422105069,0.6349902768036914,2.2382800895398525,0.4410326238038257,-0.5591572159066927
S01010154,0.5250781074464664,1.1224555523679718,-0.44917958777561934,-0.43433010140910433,-0.013141520268103422,2.0493445963216823,-0.8078690592968313,0.33310750192128535,1.0652404626628362,-0.24553026890844265,-1.04215705301557,2.150556642812904,-0.12432830014399099,-0.22120987927979874
S01010155,0.11185517349945069,-0.08994846977215126,-0.5512606724843404,-0.20313029216953524,-1.1564537835931061,0.7489604419721515,-2.1562941880442206,1.049008946326916,-0.5682389716134384,-0.2513084011637328,-1.539558350511159,2.5629656212541287,0.020038446546736175,-0.4220052768539815
S01010156,0.44243352065706326,0.35092572009698436,-0.27053768953535745,0.02806951707003384,-0.3942456080431043,2.608831515871829,0.055813330928923655,1.5186575529434996,0.4255321588714011,-0.49285386295429684,-0.21889284915910717,2.150488729326077,0.11715190255917256,-0.5627492161897482
S01010157,1.516813148919304,1.2326740998352557,0.38731818969862286,-1.012329624508027,-0.3942456080431043,1.5154257208739446,0.9122137418843725,0.8565261001681742,0.9048726645311211,1.2108275610327681,0.35273075429748324,2.3460573989028437,-0.23766892657491945,-0.4844399598163937
S01010158,0.19449976028885382,0.24070717262970046,0.4298519749939233,0.37486923092938745,-0.013141520268103422,0.4231162469822861,-0.8471604717739083,-0.35494135483935524,1.317290846097171,-0.0876845845241816,-0.7807848353354208,0.916620105584998,0.25191546266838627,-1.0783253900511887
S01010159,0.44243352065706326,0.9020184574334039,0.2228542198901278,-0.5499300060288889,-0.3942456080431043,0.9113388255847592,0.4729066241691096,-0.49027191347553906,-0.0986123006835942,0.02017280002951529,-0.37853698997744073,1.1251803840724006,0.32118628146469963,-0.5601323737700327
S01010160,1.434168562129901,1.7837668371716753,1.8249601326797782,1.762068086366802,0.3679625675068975,2.523135989849797,0.41999587838002234,1.0763661428628772,0.5754117765421537,0.46104404876012794,3.1592751241781682,3.424306640029835,-1.2663827783438388,0.35347579191980516
S01010161,-0.21872317365816188,-0.08994846977215126,1.1415839822686176,-0.20313029216953524,-0.3942456080431043,-0.11055234085343162,0.47380553020895,0.3885405130179374,0.1514187346746483,-0.3778222092155667,0.27787231527774875,2.699253547949468,-0.9118327672912993,-0.41526886499348553
